Conference Name,Industry / Category,Start Date,End Date,Venue Name,Address,Cost,Website URL,Organizer Name,Contact Email,Contact Phone,CFP / Talk Submission URL,Source
EMC Training,Education & Training,3/25/2026,4/24/2026,,"Austin, TX (also online)",Paid,https://10times.com/austin-us/workshops,,,,,10times.com
ATX 2600,Business & Professional,4/3/2026,4/3/2026,Central Market,"40th & N. Lamar, Austin, TX, 73301",Free,https://www.meetup.com/atx-2600/events/313486917/,ATX 2600,,,,Meetup.com
Austin Foodies @ FoodieLand Festival,Business & Professional,4/3/2026,4/3/2026,Circuit of the Americas,"7805 Circuit of the Americas Blvd, Austin, TX, 78617",Free,https://www.meetup.com/meetup-group-naljkhzl/events/313511901/,Austin Foodies,,,,Meetup.com
Let the Games Begin! Bring a Snack and a Game to Share!,Business & Professional,4/3/2026,4/3/2026,Louise and Greg's house,"12210 Wycliff Lane, ,, Austin, tx, 78727",Free,https://www.meetup.com/primetimeatx/events/312318450/,PrimeTime ATX,,,,Meetup.com
No Limit Hold'em CASH Games,Business & Professional,4/3/2026,4/4/2026,Private Residence 78727,"78727 - Near Metric & Parmer - address to be e-mailed to attendees, Austin, TX",Free,https://www.meetup.com/poker-1420/events/314011102/,Austin's Hot Spot Poker Club,,,,Meetup.com
On-Demand Nonprofit Burnout Symptoms and Prevention Strategies (3 minutes),Business & Professional,4/3/2026,4/3/2026,Online event,"Austin, TX",Free,https://www.meetup.com/nonprofit-burnout-prevention/events/314009086/,Nonprofit Burnout Prevention,,,,Meetup.com
🌍 Austin Expats & Newcomers – Monthly Friday Social 🍻,Business & Professional,4/3/2026,4/3/2026,Lustre Pearl East,"114 Linden St, Austin, TX 78702., Austin, TX",Free,https://www.meetup.com/expats-adventure-travel/events/313376136/,Expats & Adventure Travel Meetup,,,,Meetup.com
(C.Aus) Austin Flea@ Brewtorium,Business & Professional,4/4/2026,4/4/2026,The Brewtorium Brewery & Kitchen,"6015 Dillard Cir A, Austin, TX, 78752",Free,https://www.meetup.com/austin-art-lovers/events/313947270/,Austin Art Lovers,,,,Meetup.com
(E.Aus) Creative Foundation Show,Business & Professional,4/4/2026,4/4/2026,Art From The Streets,"916 Springdale Rd Bld 2 #105, Austin, TX, 78702",Free,https://www.meetup.com/austin-art-lovers/events/313987790/,Austin Art Lovers,,,,Meetup.com
(W.Aus) Immersive Long Exposure workshop,Business & Professional,4/4/2026,4/4/2026,Pennybacker Bridge (360 bridge),"5300 N Capital of Texas Hwy,, Austin, tx, 78730",Free,https://www.meetup.com/austin-art-lovers/events/313947569/,Austin Art Lovers,,,,Meetup.com
ALASKA TRIP DEPOSIT DEADLINE: April 4th!,Business & Professional,4/4/2026,4/4/2026,Online event,"Austin, TX",Free,https://www.meetup.com/houstonphotowalks/events/313949992/,HoustonPhotowalks Photography Club,,,,Meetup.com
Amplify REI - Real Estate Investor Networking,Business & Professional,4/4/2026,4/4/2026,Bouldin Acres,"2027 South Lamar Boulevard, Austin, TX, 78704",Free,https://www.meetup.com/amplify-rei/events/313042010/,"Amplify REI - Real Estate Investing, Education & Networking",,,,Meetup.com
Austin OM Community Dinner-CANCELLED,Business & Professional,4/4/2026,4/4/2026,,"Austin, TX",Free,https://www.meetup.com/austin-om-community/events/314028595/,Austin OM Community,,,,Meetup.com
Austin OpenClaw Hackathon,Business & Professional,4/4/2026,4/4/2026,,"Mort Subite European Bar, 308 Congress Ave., Austin, TX 78701, USA",Free,https://lu.ma/jtvgqgho,"James Jackson Leach, Crowdstake AI, Alex Stulov",,,,Luma (lu.ma)
Belonging to Myself,Business & Professional,4/4/2026,4/4/2026,Online event,"Austin, TX",Free,https://www.meetup.com/small-group-conversations-for-connection-support-virtual/events/313492551/,Small Group Conversations for Connection & Support (Virtual),,,,Meetup.com
Build The Life You Want Meetup,Business & Professional,4/4/2026,4/4/2026,"7000 Ardath St, Austin, TX 78757, USA","7000 Ardath St, Austin, TX 78757, USA, Austin, TX, 78757",Free,https://www.meetup.com/build-the-life-you-want-austin-goals-group/events/313986248/,Build The Life You Want - Execute On Your Goals,,,,Meetup.com
Death Cafe - (East),Business & Professional,4/4/2026,4/4/2026,Village Farm Austin's Farmhouse,"8254 Canoga Ave., Austin, TX, 78724",Free,https://www.meetup.com/austin-death-cafe/events/313931785/,Death Cafe Austin,,,,Meetup.com
Death Cafe - East,Business & Professional,4/4/2026,4/4/2026,Green Gate Farmhouse,"8254 Canoga Ave, Austin, TX, 78724",Free,https://www.meetup.com/austin-death-doulas/events/313966583/,Austin Death Doulas,,,,Meetup.com
Easy-Mid problems ,Business & Professional,4/4/2026,4/4/2026,Capital One Café,"11801 Domain Blvd Suite 160 Suite 160, Austin, TX, 78758",Free,https://www.meetup.com/austin-algorithms-meetup/events/313800146/,Austin Algorithms Meetup,,,,Meetup.com
Explore Austin's BookStore Gems with the Austin BookTrail event,Business & Professional,4/4/2026,4/4/2026,"Mañana, Sandra Muraida Way, Austin, TX","Mañana, Sandra Muraida Way, Austin, TX, Austin, TX, 78703",Free,https://www.meetup.com/i-love-austin-but-i-need-some-f-g-friends/events/314079682/,"I love Austin, but I need some f*****g friends!",,,,Meetup.com
Explore Nature’s Treasures of Texas,Business & Professional,4/4/2026,4/4/2026,Natures Treasure of Texas,"4103 N IH-35, Austin, TX, 78753",Free,https://www.meetup.com/hill-country-modern-mystics/events/313834497/,Hill Country Modern Mystics,,,,Meetup.com
"Free Spanish Classes, 25-Minute Classes Available Anytime!",Business & Professional,4/4/2026,4/4/2026,Online event,"Austin, TX",Free,https://www.meetup.com/free-spanish-speaking-drills-online-everyday-austin/events/313797015/,Learn Spanish Free - Speak Spanish Confidently - Austin,,,,Meetup.com
Meetup at Norwood Park,Business & Professional,4/4/2026,4/4/2026,Norwood Estates Park,"1000 E Riverside Dr, Austin, TX, 78704",Free,https://www.meetup.com/greatdane-209/events/313800367/,The Austin Area Great Dane Meetup Group,,,,Meetup.com
NERVOUS SYSTEM REGULATION WITH SOMATIC BREATHWORK & SOUND BATH ,Business & Professional,4/4/2026,4/4/2026,Willow Gardens Yoga- Buda,"302 S Main St #103, Buda, TX, 78610",Paid — 40.0 USD,https://www.meetup.com/austin-mindful-metamorphosis/events/314091922/,Austin Mindful Metamorphosis,,,,Meetup.com
NERVOUS SYSTEM REGULATION WITH TRANSFORMATIVE BREATHWORK & SOUND BATH ,Business & Professional,4/4/2026,4/4/2026,Willow Gardens Yoga- Buda,"302 S Main St #103, Buda, TX, 78610",Paid — 40.0 USD,https://www.meetup.com/breathwork-austin-wellness/events/313988201/,Breathwork Austin Wellness,,,,Meetup.com
Noontime Council of Solace (Open to Members and Seekers),Business & Professional,4/4/2026,4/4/2026,Sa Ankh Pronaos,"9513 Burnet Rd #210, Austin, TX, 78758",Free,https://www.meetup.com/rosicruciansinaustinarea/events/314021938/,Rosicrucian Learning Center in Austin,,,,Meetup.com
Sew and Tell! Central Library,Business & Professional,4/4/2026,4/4/2026,"Austin Central Library, Austin Public Library","710 West Cesar Chavez Street, Austin, TX, 78701",Free,https://www.meetup.com/wesewaustin/events/312809643/,wesew Austin,,,,Meetup.com
Software Developer Coffee @ Blue Lacy,Business & Professional,4/4/2026,4/4/2026,Blue Lacy,"1825 Mcbee street,, Austin, TX, 78723",Free,https://www.meetup.com/austin-iphone-developer-group/events/313877476/,Austin iPhone Developer Group,,,,Meetup.com
Sunset Sound Bath at Austin Salt Room ✨(Sold Out),Business & Professional,4/4/2026,4/4/2026,Austin Salt Room,"2215 S 1st St, Austin, TX, 78704",Free,https://www.meetup.com/nature-and-sound-atx-sound-bath-events/events/313778999/,Nature & Sound ✨🌿 • Sound Bath Events in Austin,,,,Meetup.com
